,kde200,bower
X: 2016-08-31 00:00:00~2016-10-29 23:59:59 -> Y: 2016-10-30 00:00:00~2016-11-05 23:59:59,"[0.55555555555555558, 1.8758793184305143, 2.7778067265326918]","[0.57407407407407407, 1.9384086290448648, 2.8704002840837815]"
X: 2016-09-01 00:00:00~2016-10-30 23:59:59 -> Y: 2016-10-31 00:00:00~2016-11-06 23:59:59,"[0.55757575757575761, 1.9175655255067481, 2.7879078419019017]","[0.5636363636363636, 1.9391159299416181, 2.8192395177799683]"
X: 2016-09-02 00:00:00~2016-10-31 23:59:59 -> Y: 2016-11-01 00:00:00~2016-11-07 23:59:59,"[0.55844155844155841, 1.792506904278047, 2.7922368913458486]","[0.57792207792207795, 1.8558098316217486, 2.8908455877126054]"
X: 2016-09-03 00:00:00~2016-11-01 23:59:59 -> Y: 2016-11-02 00:00:00~2016-11-08 23:59:59,"[0.58940397350993379, 1.8550362148923976, 2.9470505800697828]","[0.56953642384105962, 1.7949386903208977, 2.8515751153713915]"
X: 2016-09-04 00:00:00~2016-11-02 23:59:59 -> Y: 2016-11-03 00:00:00~2016-11-09 23:59:59,"[0.55263157894736847, 1.7508206972018134, 2.7631866911298886]","[0.52631578947368418, 1.6679697680479542, 2.632429392480419]"
X: 2016-09-05 00:00:00~2016-11-03 23:59:59 -> Y: 2016-11-04 00:00:00~2016-11-10 23:59:59,"[0.61445783132530118, 2.1259965608879163, 3.0723211746470014]","[0.57228915662650603, 1.9800948361210984, 2.8614756038378935]"
X: 2016-09-06 00:00:00~2016-11-04 23:59:59 -> Y: 2016-11-05 00:00:00~2016-11-11 23:59:59,"[0.60897435897435892, 1.9800948361210984, 3.0449035271608351]","[0.58333333333333337, 1.8967224219686312, 2.9166970628593267]"
X: 2016-09-07 00:00:00~2016-11-05 23:59:59 -> Y: 2016-11-06 00:00:00~2016-11-12 23:59:59,"[0.65161290322580645, 2.1051534573497994, 3.2580984702170541]","[0.63225806451612898, 2.0426241467354491, 3.1613232681313987]"
X: 2016-09-08 00:00:00~2016-11-06 23:59:59 -> Y: 2016-11-07 00:00:00~2016-11-13 23:59:59,"[0.62585034013605445, 1.9175655255067481, 3.1292843123388692]","[0.59863945578231292, 1.8341931113542806, 2.9932284726719618]"
X: 2016-09-09 00:00:00~2016-11-07 23:59:59 -> Y: 2016-11-08 00:00:00~2016-11-14 23:59:59,"[0.6143790849673203, 1.9592517325829817, 3.0719274387538005]","[0.60130718954248363, 1.9206680584551148, 3.0114317682535781]"
X: 2016-09-10 00:00:00~2016-11-08 23:59:59 -> Y: 2016-11-09 00:00:00~2016-11-15 23:59:59,"[0.58940397350993379, 1.8550362148923976, 2.9470505800697828]","[0.57615894039735094, 1.813350007816164, 2.8808247243378773]"
X: 2016-09-11 00:00:00~2016-11-09 23:59:59 -> Y: 2016-11-10 00:00:00~2016-11-16 23:59:59,"[0.63380281690140849, 1.8758793184305143, 3.1690471105513809]","[0.63380281690140849, 1.8758793184305143, 3.1690471105513809]"
X: 2016-09-12 00:00:00~2016-11-10 23:59:59 -> Y: 2016-11-11 00:00:00~2016-11-17 23:59:59,"[0.59589041095890416, 1.813350007816164, 2.9794831053083533]","[0.6095890410958904, 1.8550362148923976, 3.0479769697982002]"
X: 2016-09-13 00:00:00~2016-11-11 23:59:59 -> Y: 2016-11-12 00:00:00~2016-11-18 23:59:59,"[0.60624999999999996, 2.0217810431973322, 3.0312815903287995]","[0.59999999999999998, 2.0009379396592153, 3.0000312646553069]"
X: 2016-09-14 00:00:00~2016-11-12 23:59:59 -> Y: 2016-11-13 00:00:00~2016-11-19 23:59:59,"[0.61290322580645162, 1.9800948361210984, 3.0645480660457438]","[0.61935483870967745, 2.0009379396592153, 3.0968064667409623]"
X: 2016-09-15 00:00:00~2016-11-13 23:59:59 -> Y: 2016-11-14 00:00:00~2016-11-20 23:59:59,"[0.60526315789473684, 1.9175655255067481, 3.0263473283803535]","[0.625, 1.9800948361210984, 3.1250325673492783]"
X: 2016-09-16 00:00:00~2016-11-14 23:59:59 -> Y: 2016-11-15 00:00:00~2016-11-21 23:59:59,"[0.59731543624161076, 1.8550362148923976, 2.9866083059767599]","[0.60402684563758391, 1.8758793184305143, 3.0201657026731281]"
X: 2016-09-17 00:00:00~2016-11-15 23:59:59 -> Y: 2016-11-16 00:00:00~2016-11-22 23:59:59,"[0.59333333333333338, 1.8550362148923976, 2.9666975839369152]","[0.61333333333333329, 1.9175655255067481, 3.0666986260920917]"
X: 2016-09-18 00:00:00~2016-11-16 23:59:59 -> Y: 2016-11-17 00:00:00~2016-11-23 23:59:59,"[0.58282208588957052, 1.9800948361210984, 2.9141407990005539]","[0.6073619631901841, 2.0634672502735656, 3.0368414642216304]"
X: 2016-09-19 00:00:00~2016-11-17 23:59:59 -> Y: 2016-11-18 00:00:00~2016-11-24 23:59:59,"[0.59027777777777779, 1.7716638007399301, 2.9514196469409852]","[0.58333333333333337, 1.7508206972018134, 2.9166970628593267]"
X: 2016-09-20 00:00:00~2016-11-18 23:59:59 -> Y: 2016-11-19 00:00:00~2016-11-25 23:59:59,"[0.58139534883720934, 1.5632327653587619, 2.9070070393946774]","[0.54263565891472865, 1.4590172476681778, 2.7132065701016987]"
X: 2016-09-21 00:00:00~2016-11-19 23:59:59 -> Y: 2016-11-20 00:00:00~2016-11-26 23:59:59,"[0.57462686567164178, 1.6049189724349957, 2.8731642708763512]","[0.60447761194029848, 1.6882913865874629, 3.0224195576751227]"
X: 2016-09-22 00:00:00~2016-11-20 23:59:59 -> Y: 2016-11-21 00:00:00~2016-11-27 23:59:59,"[0.59722222222222221, 1.792506904278047, 2.9861422310226438]","[0.625, 1.8758793184305143, 3.1250325673492783]"
X: 2016-09-23 00:00:00~2016-11-21 23:59:59 -> Y: 2016-11-22 00:00:00~2016-11-28 23:59:59,"[0.57792207792207795, 1.8550362148923976, 2.8896405038346575]","[0.59090909090909094, 1.8980081343205757, 2.9565790346893697]"
X: 2016-09-24 00:00:00~2016-11-22 23:59:59 -> Y: 2016-11-23 00:00:00~2016-11-29 23:59:59,"[0.56209150326797386, 1.792506904278047, 2.8104868056683707]","[0.5816993464052288, 1.8552295586012821, 2.9088301883193566]"
X: 2016-09-25 00:00:00~2016-11-23 23:59:59 -> Y: 2016-11-24 00:00:00~2016-11-30 23:59:59,"[0.5357142857142857, 1.5632327653587619, 2.6785993434422384]","[0.5357142857142857, 1.5632327653587619, 2.6785993434422384]"
X: 2016-09-26 00:00:00~2016-11-24 23:59:59 -> Y: 2016-11-25 00:00:00~2016-12-01 23:59:59,"[0.5490196078431373, 1.7508206972018134, 2.7451266473970133]","[0.54248366013071891, 1.7299775936636965, 2.7124465682613343]"
X: 2016-09-27 00:00:00~2016-11-25 23:59:59 -> Y: 2016-11-26 00:00:00~2016-12-02 23:59:59,"[0.52027027027027029, 1.6049189724349957, 2.6013784614691291]","[0.52702702702702697, 1.6259315232685394, 2.6354372507897961]"
X: 2016-09-28 00:00:00~2016-11-26 23:59:59 -> Y: 2016-11-27 00:00:00~2016-12-03 23:59:59,"[0.53333333333333333, 1.667448283049346, 2.666694457471384]","[0.55333333333333334, 1.7299775936636965, 2.7666954996265609]"
X: 2016-09-29 00:00:00~2016-11-27 23:59:59 -> Y: 2016-11-28 00:00:00~2016-12-04 23:59:59,"[0.53793103448275859, 1.6257620759731124, 2.6896832027944133]","[0.51724137931034486, 1.5632327653587619, 2.5862338488407821]"
X: 2016-09-30 00:00:00~2016-11-28 23:59:59 -> Y: 2016-11-29 00:00:00~2016-12-05 23:59:59,"[0.59154929577464788, 1.7508206972018134, 2.9577773031812886]","[0.54929577464788737, 1.6264400771516447, 2.7476528880838598]"
X: 2016-10-01 00:00:00~2016-11-29 23:59:59 -> Y: 2016-11-30 00:00:00~2016-12-06 23:59:59,"[0.55944055944055948, 1.667448283049346, 2.7972319483965569]","[0.55944055944055948, 1.667448283049346, 2.7972319483965569]"
X: 2016-10-02 00:00:00~2016-11-30 23:59:59 -> Y: 2016-12-01 00:00:00~2016-12-07 23:59:59,"[0.55405405405405406, 1.7091344901255798, 2.7702991407853061]","[0.58108108108108103, 1.792506904278047, 2.9054356842382476]"
X: 2016-10-03 00:00:00~2016-12-01 23:59:59 -> Y: 2016-12-02 00:00:00~2016-12-08 23:59:59,"[0.54605263157894735, 1.7299775936636965, 2.73029161147358]","[0.55921052631578949, 1.7716638007399301, 2.7960817707861962]"
X: 2016-10-04 00:00:00~2016-12-02 23:59:59 -> Y: 2016-12-03 00:00:00~2016-12-09 23:59:59,"[0.53164556962025311, 1.7508206972018134, 2.6582555509603987]","[0.55063291139240511, 1.813350007816164, 2.7531932492089846]"
X: 2016-10-05 00:00:00~2016-12-03 23:59:59 -> Y: 2016-12-04 00:00:00~2016-12-10 23:59:59,"[0.55063291139240511, 1.813350007816164, 2.7531932492089846]","[0.56329113924050633, 1.856003336635212, 2.8179534204140566]"
X: 2016-10-06 00:00:00~2016-12-04 23:59:59 -> Y: 2016-12-05 00:00:00~2016-12-11 23:59:59,"[0.56329113924050633, 1.8550362148923976, 2.816485048041375]","[0.60126582278481011, 1.9800948361210984, 3.0063604445385459]"
X: 2016-10-07 00:00:00~2016-12-05 23:59:59 -> Y: 2016-12-06 00:00:00~2016-12-12 23:59:59,"[0.53703703703703709, 1.813350007816164, 2.6852131689816021]","[0.53703703703703709, 1.813350007816164, 2.6852131689816021]"
X: 2016-10-08 00:00:00~2016-12-06 23:59:59 -> Y: 2016-12-07 00:00:00~2016-12-13 23:59:59,"[0.52795031055900621, 1.7716638007399301, 2.639779063102496]","[0.54037267080745344, 1.813350007816164, 2.701891511646084]"
X: 2016-10-09 00:00:00~2016-12-07 23:59:59 -> Y: 2016-12-08 00:00:00~2016-12-14 23:59:59,"[0.51592356687898089, 1.6882913865874629, 2.57964471801571]","[0.50955414012738853, 1.667448283049346, 2.5477972523611951]"
X: 2016-10-10 00:00:00~2016-12-08 23:59:59 -> Y: 2016-12-09 00:00:00~2016-12-15 23:59:59,"[0.5, 1.5215465582825283, 2.5000260538794228]","[0.49315068493150682, 1.5007034547444116, 2.4657791216344989]"
X: 2016-10-11 00:00:00~2016-12-09 23:59:59 -> Y: 2016-12-10 00:00:00~2016-12-16 23:59:59,"[0.52482269503546097, 1.5423896618206452, 2.6241408225117344]","[0.51773049645390068, 1.5225779539055166, 2.5904342224283292]"
X: 2016-10-12 00:00:00~2016-12-10 23:59:59 -> Y: 2016-12-11 00:00:00~2016-12-17 23:59:59,"[0.4859154929577465, 1.4381741441300611, 2.4296027847560588]","[0.50704225352112675, 1.5007034547444116, 2.5352376884411045]"
X: 2016-10-13 00:00:00~2016-12-11 23:59:59 -> Y: 2016-12-12 00:00:00~2016-12-18 23:59:59,"[0.45578231292517007, 1.3964879370538272, 2.2789353144206981]","[0.46938775510204084, 1.4381741441300611, 2.3469632342541518]"
X: 2016-10-14 00:00:00~2016-12-12 23:59:59 -> Y: 2016-12-13 00:00:00~2016-12-19 23:59:59,"[0.50684931506849318, 1.5423896618206452, 2.5342729861243463]","[0.5273972602739726, 1.6049189724349957, 2.6370137828591171]"
X: 2016-10-15 00:00:00~2016-12-13 23:59:59 -> Y: 2016-12-14 00:00:00~2016-12-20 23:59:59,"[0.50318471337579618, 1.6466051795112293, 2.5159497867066802]","[0.52229299363057324, 1.7091344901255798, 2.611492183670225]"
X: 2016-10-16 00:00:00~2016-12-14 23:59:59 -> Y: 2016-12-15 00:00:00~2016-12-21 23:59:59,"[0.46710526315789475, 1.4798603512062947, 2.3355506555978818]","[0.48026315789473684, 1.5217051435718381, 2.4015910979700541]"
X: 2016-10-17 00:00:00~2016-12-15 23:59:59 -> Y: 2016-12-16 00:00:00~2016-12-22 23:59:59,"[0.48447204968944102, 1.6257620759731124, 2.4223854931999376]","[0.50310559006211175, 1.6882913865874629, 2.5155541660153196]"
X: 2016-10-18 00:00:00~2016-12-16 23:59:59 -> Y: 2016-12-17 00:00:00~2016-12-23 23:59:59,"[0.46551724137931033, 1.6882913865874629, 2.3276104639567037]","[0.48275862068965519, 1.7508206972018134, 2.4138182589180635]"
X: 2016-10-19 00:00:00~2016-12-17 23:59:59 -> Y: 2016-12-18 00:00:00~2016-12-24 23:59:59,"[0.48214285714285715, 1.6882913865874629, 2.4107394090980145]","[0.48214285714285715, 1.6882913865874629, 2.4107394090980145]"
X: 2016-10-20 00:00:00~2016-12-18 23:59:59 -> Y: 2016-12-19 00:00:00~2016-12-25 23:59:59,"[0.49056603773584906, 1.6257620759731124, 2.4528557509760374]","[0.51572327044025157, 1.7091344901255798, 2.5786432253850649]"
